
2   ixy
0   method
0.00416667    ds
444    nrules
41.591666667   139.970833333   140.437500000  
41.595833333   139.970833333   140.437500000  
41.600000000   139.970833333   140.437500000  
41.604166667   139.970833333   140.437500000  
41.608333333   139.970833333   140.437500000  
41.612500000   139.983333333   140.437500000  
41.616666667   139.983333333   140.437500000  
41.620833333   139.987500000   140.437500000  
41.625000000   139.987500000   140.441666667  
41.629166667   139.987500000   140.441666667  
41.633333333   139.987500000   140.441666667  
41.637500000   139.987500000   140.441666667  
41.641666667   139.991666667   140.441666667  
41.645833333   139.991666667   140.441666667  
41.650000000   139.991666667   140.441666667  
41.654166667   139.991666667   140.441666667  
41.658333333   140.000000000   140.441666667  
41.662500000   140.000000000   140.441666667  
41.666666667   140.000000000   140.445833333  
41.670833333   139.995833333   140.445833333  
41.675000000   139.995833333   140.466666667  
41.679166667   139.995833333   140.466666667  
41.683333333   140.008333333   140.479166667  
41.687500000   140.004166667   140.533333333  
41.691666667   140.008333333   140.537500000  
41.695833333   140.008333333   140.537500000  
41.700000000   140.020833333   140.541666667  
41.704166667   140.020833333   140.545833333  
41.708333333   140.020833333   141.033333333  
41.712500000   140.020833333   141.033333333  
41.716666667   140.020833333   141.037500000  
41.720833333   140.025000000   141.045833333  
41.725000000   140.029166667   141.054166667  
41.729166667   140.029166667   141.054166667  
41.733333333   140.033333333   141.075000000  
41.737500000   140.037500000   141.075000000  
41.741666667   140.037500000   141.083333333  
41.745833333   140.054166667   141.087500000  
41.750000000   140.054166667   141.083333333  
41.754166667   140.054166667   141.083333333  
41.758333333   140.058333333   141.100000000  
41.762500000   140.058333333   141.095833333  
41.766666667   140.062500000   141.091666667  
41.770833333   140.066666667   141.104166667  
41.775000000   140.066666667   141.108333333  
41.779166667   140.066666667   141.145833333  
41.783333333   140.066666667   141.154166667  
41.787500000   140.066666667   141.166666667  
41.791666667   140.066666667   141.170833333  
41.795833333   140.070833333   141.183333333  
41.800000000   140.066666667   141.183333333  
41.804166667   140.070833333   141.183333333  
41.808333333   140.079166667   141.187500000  
41.812500000   140.083333333   141.183333333  
41.816666667   140.091666667   141.183333333  
41.820833333   140.095833333   141.179166667  
41.825000000   140.104166667   141.166666667  
41.829166667   140.104166667   141.166666667  
41.833333333   140.104166667   141.162500000  
41.837500000   140.108333333   141.154166667  
41.841666667   140.108333333   141.154166667  
41.845833333   140.108333333   141.154166667  
41.850000000   140.108333333   141.154166667  
41.854166667   140.108333333   141.150000000  
41.858333333   140.108333333   141.150000000  
41.862500000   140.108333333   141.125000000  
41.866666667   140.108333333   141.120833333  
41.870833333   140.112500000   141.112500000  
41.875000000   140.112500000   141.108333333  
41.879166667   140.112500000   141.100000000  
41.883333333   140.112500000   141.091666667  
41.887500000   140.116666667   141.075000000  
41.891666667   140.116666667   141.066666667  
41.895833333   140.116666667   141.045833333  
41.900000000   140.116666667   140.991666667  
41.904166667   140.116666667   140.991666667  
41.908333333   140.116666667   140.991666667  
41.912500000   140.116666667   140.987500000  
41.916666667   140.120833333   143.262500000  
41.920833333   140.120833333   143.262500000  
41.925000000   140.120833333   143.258333334  
41.929166667   140.120833333   143.258333334  
41.933333333   140.120833333   143.258333334  
41.937500000   140.120833333   143.258333334  
41.941666667   140.120833333   143.258333334  
41.945833333   140.120833333   143.258333334  
41.950000000   140.120833333   143.258333334  
41.954166667   140.120833333   143.258333334  
41.958333333   140.120833333   143.258333334  
41.962500000   140.120833333   143.258333334  
41.966666667   140.120833333   143.258333334  
41.970833333   140.116666667   143.258333334  
41.975000000   140.116666667   143.262500000  
41.979166667   140.116666667   143.262500000  
41.983333333   140.116666667   143.262500000  
41.987500000   140.112500000   143.266666667  
41.991666667   140.112500000   143.266666667  
41.995833333   140.112500000   143.270833334  
42.000000000   140.108333333   143.270833334  
42.004166667   140.108333333   143.279166667  
42.008333333   140.108333333   143.283333334  
42.012500000   140.095833333   143.287500000  
42.016666667   140.095833333   143.291666667  
42.020833333   140.095833333   143.295833334  
42.025000000   140.091666667   143.304166667  
42.029166667   140.091666667   143.304166667  
42.033333333   140.091666667   143.304166667  
42.037500000   140.087500000   143.316666667  
42.041666667   140.083333333   143.320833334  
42.045833333   140.079166667   143.320833334  
42.050000000   140.075000000   143.320833334  
42.054166667   140.070833333   143.320833334  
42.058333333   139.441666667   143.312500000  
42.062500000   139.437500000   143.312500000  
42.066666667   139.433333333   143.316666667  
42.070833333   139.420833333   143.316666667  
42.075000000   139.416666667   143.316666667  
42.079166667   139.416666667   143.316666667  
42.083333333   139.416666667   143.316666667  
42.087500000   139.416666667   143.320833334  
42.091666667   139.416666667   143.320833334  
42.095833333   139.416666667   143.320833334  
42.100000000   139.416666667   143.320833334  
42.104166667   139.416666667   143.320833334  
42.108333333   139.412500000   143.329166667  
42.112500000   139.412500000   143.329166667  
42.116666667   139.412500000   143.329166667  
42.120833333   139.412500000   143.329166667  
42.125000000   139.412500000   143.329166667  
42.129166667   139.412500000   143.329166667  
42.133333333   139.412500000   143.329166667  
42.137500000   139.412500000   143.333333334  
42.141666667   139.412500000   143.333333334  
42.145833333   139.408333333   143.333333334  
42.150000000   139.408333333   143.333333334  
42.154166667   139.404166667   143.333333334  
42.158333333   139.404166667   143.337500000  
42.162500000   139.404166667   143.337500000  
42.166666667   139.404166667   143.337500000  
42.170833333   139.408333333   143.337500000  
42.175000000   139.412500000   143.341666667  
42.179166667   139.412500000   143.341666667  
42.183333333   139.412500000   143.341666667  
42.187500000   139.420833333   143.341666667  
42.191666667   139.420833333   143.341666667  
42.195833333   139.429166667   143.341666667  
42.200000000   139.429166667   143.337500000  
42.204166667   139.429166667   143.333333334  
42.208333333   139.433333333   143.333333334  
42.212500000   139.433333333   143.333333334  
42.216666667   139.437500000   143.329166667  
42.220833333   139.441666667   143.329166667  
42.225000000   139.445833333   143.329166667  
42.229166667   139.445833333   143.329166667  
42.233333333   139.445833333   143.329166667  
42.237500000   139.541666667   143.329166667  
42.241666667   139.558333333   143.329166667  
42.245833333   139.558333333   143.329166667  
42.250000000   139.558333333   143.333333334  
42.254166667   139.766666667   143.333333334  
42.258333333   139.758333333   143.337500000  
42.262500000   139.758333333   143.337500000  
42.266666667   139.766666667   143.341666667  
42.270833333   139.770833333   143.341666667  
42.275000000   139.775000000   143.345833334  
42.279166667   139.775000000   143.345833334  
42.283333333   139.766666667   143.354166667  
42.287500000   139.758333333   143.354166667  
42.291666667   139.762500000   143.354166667  
42.295833333   139.762500000   143.354166667  
42.300000000   139.758333333   143.358333334  
42.304166667   139.758333333   143.358333334  
42.308333333   139.762500000   143.358333334  
42.312500000   139.762500000   143.362500000  
42.316666667   139.762500000   143.362500000  
42.320833333   139.758333333   143.366666667  
42.325000000   139.758333333   143.366666667  
42.329166667   139.758333333   143.366666667  
42.333333333   139.762500000   143.370833334  
42.337500000   139.762500000   143.370833334  
42.341666667   139.766666667   143.379166667  
42.345833333   139.766666667   143.379166667  
42.350000000   139.775000000   143.379166667  
42.354166667   139.775000000   143.379166667  
42.358333333   139.783333333   143.383333334  
42.362500000   139.787500000   143.387500000  
42.366666667   139.791666667   143.391666667  
42.370833333   139.795833333   143.395833334  
42.375000000   139.804166667   143.395833334  
42.379166667   139.804166667   143.395833334  
42.383333333   139.808333333   143.395833334  
42.387500000   139.812500000   143.404166667  
42.391666667   139.816666667   143.408333334  
42.395833333   139.829166667   143.412500000  
42.400000000   139.829166667   143.416666667  
42.404166667   139.829166667   143.416666667  
42.408333333   139.833333333   143.416666667  
42.412500000   139.841666667   143.420833334  
42.416666667   139.841666667   143.420833334  
42.420833333   139.841666667   143.420833334  
42.425000000   139.841666667   143.429166667  
42.429166667   139.841666667   143.429166667  
42.433333333   139.841666667   143.433333334  
42.437500000   139.841666667   143.441666667  
42.441666667   139.837500000   143.441666667  
42.445833333   139.837500000   143.445833334  
42.450000000   139.837500000   143.445833334  
42.454166667   139.837500000   143.454166667  
42.458333333   139.837500000   143.454166667  
42.462500000   139.837500000   143.458333334  
42.466666667   139.837500000   143.462500000  
42.470833333   139.837500000   143.466666667  
42.475000000   139.837500000   143.470833334  
42.479166667   139.837500000   143.470833334  
42.483333333   139.837500000   143.470833334  
42.487500000   139.837500000   143.483333334  
42.491666667   139.837500000   143.491666667  
42.495833333   139.837500000   143.495833334  
42.500000000   139.837500000   143.495833334  
42.504166667   139.837500000   143.495833334  
42.508333333   139.837500000   143.504166667  
42.512500000   139.833333333   143.508333334  
42.516666667   139.833333333   143.512500000  
42.520833333   139.837500000   143.516666667  
42.525000000   139.837500000   143.520833334  
42.529166667   139.837500000   143.529166667  
42.533333333   139.837500000   143.529166667  
42.537500000   139.837500000   143.529166667  
42.541666667   139.833333333   143.533333334  
42.545833333   139.833333333   143.537500000  
42.550000000   139.833333333   143.545833334  
42.554166667   139.833333333   143.554166667  
42.558333333   139.833333333   143.554166667  
42.562500000   139.833333333   143.558333334  
42.566666667   139.833333333   143.558333334  
42.570833333   139.825000000   143.566666667  
42.575000000   139.820833333   143.570833334  
42.579166667   139.820833333   143.570833334  
42.583333333   139.820833333   143.570833334  
42.587500000   139.820833333   143.579166667  
42.591666667   139.816666667   143.583333334  
42.595833333   139.820833333   143.591666667  
42.600000000   139.816666667   143.591666667  
42.604166667   139.816666667   143.595833334  
42.608333333   139.820833333   143.604166667  
42.612500000   139.820833333   143.612500000  
42.616666667   139.829166667   143.612500000  
42.620833333   139.841666667   143.616666667  
42.625000000   139.841666667   143.633333334  
42.629166667   139.841666667   143.633333334  
42.633333333   139.850000000   143.637500000  
42.637500000   139.854166667   143.641666667  
42.641666667   139.854166667   143.645833334  
42.645833333   139.854166667   143.654166667  
42.650000000   139.862500000   143.658333334  
42.654166667   139.858333333   143.658333334  
42.658333333   139.866666667   143.662500000  
42.662500000   139.875000000   143.666666667  
42.666666667   139.879166667   143.683333334  
42.670833333   139.879166667   143.687500000  
42.675000000   139.904166667   143.695833334  
42.679166667   139.900000000   143.695833334  
42.683333333   139.916666667   143.704166667  
42.687500000   139.916666667   143.708333334  
42.691666667   139.958333333   143.716666667  
42.695833333   140.016666667   143.720833334  
42.700000000   140.041666667   143.729166667  
42.704166667   140.041666667   143.729166667  
42.708333333   140.045833333   143.733333334  
42.712500000   140.058333333   143.737500000  
42.716666667   140.058333333   143.754166667  
42.720833333   140.066666667   143.758333334  
42.725000000   140.070833333   143.762500000  
42.729166667   140.070833333   143.762500000  
42.733333333   140.087500000   143.762500000  
42.737500000   140.087500000   143.787500000  
42.741666667   140.116666667   143.787500000  
42.745833333   140.116666667   143.808333334  
42.750000000   140.120833333   143.808333334  
42.754166667   140.129166667   143.804166667  
42.758333333   140.137500000   143.808333334  
42.762500000   140.137500000   143.812500000  
42.766666667   140.137500000   143.820833334  
42.770833333   140.141666667   143.829166667  
42.775000000   140.141666667   143.841666667  
42.779166667   140.145833333   143.841666667  
42.783333333   140.145833333   143.841666667  
42.787500000   140.145833333   143.858333334  
42.791666667   140.145833333   143.854166667  
42.795833333   140.145833333   143.858333334  
42.800000000   140.154166667   143.862500000  
42.804166667   140.154166667   143.862500000  
42.808333333   140.154166667   143.866666667  
42.812500000   140.162500000   143.879166667  
42.816666667   140.166666667   143.883333334  
42.820833333   140.170833333   143.891666667  
42.825000000   140.179166667   143.895833334  
42.829166667   140.179166667   143.895833334  
42.833333333   140.270833333   143.904166667  
42.837500000   140.287500000   143.912500000  
42.841666667   140.295833333   143.916666667  
42.845833333   140.308333333   143.929166667  
42.850000000   140.312500000   143.937500000  
42.854166667   140.312500000   143.937500000  
42.858333333   140.316666667   143.941666667  
42.862500000   140.320833333   143.954166667  
42.866666667   140.333333333   143.958333334  
42.870833333   140.333333333   143.970833334  
42.875000000   140.337500000   143.987500000  
42.879166667   140.341666667   143.987500000  
42.883333333   140.345833333   143.991666667  
42.887500000   140.354166667   144.004166667  
42.891666667   140.358333333   144.020833334  
42.895833333   140.358333333   144.033333334  
42.900000000   140.362500000   144.033333334  
42.904166667   140.362500000   144.033333334  
42.908333333   140.366666667   144.058333334  
42.912500000   140.387500000   144.058333334  
42.916666667   140.379166667   144.062500000  
42.920833333   140.379166667   144.091666667  
42.925000000   140.379166667   144.504166667  
42.929166667   140.387500000   144.783333334  
42.933333333   140.391666667   144.816666667  
42.937500000   140.412500000   144.816666667  
42.941666667   140.416666667   144.870833334  
42.945833333   140.429166667   144.875000000  
42.950000000   140.433333333   144.870833334  
42.954166667   140.445833333   144.870833334  
42.958333333   140.445833333   144.883333334  
42.962500000   140.437500000   144.887500000  
42.966666667   140.454166667   144.895833334  
42.970833333   140.458333333   144.904166667  
42.975000000   140.466666667   144.966666667  
42.979166667   140.470833333   144.979166667  
42.983333333   140.479166667   144.987500000  
42.987500000   140.483333333   145.004166667  
42.991666667   140.491666667   145.016666667  
42.995833333   140.495833333   145.029166667  
43.000000000   140.508333333   145.033333334  
43.004166667   140.508333333   145.033333334  
43.008333333   140.512500000   145.037500000  
43.012500000   140.512500000   145.041666667  
43.016666667   140.516666667   145.041666667  
43.020833333   140.516666667   145.062500000  
43.025000000   140.512500000   145.104166667  
43.029166667   140.508333333   145.104166667  
43.033333333   140.504166667   145.104166667  
43.037500000   140.495833333   145.116666667  
43.041666667   140.491666667   145.116666667  
43.045833333   140.491666667   145.120833334  
43.050000000   140.487500000   145.120833334  
43.054166667   140.487500000   145.120833334  
43.058333333   140.483333333   145.133333334  
43.062500000   140.479166667   145.158333334  
43.066666667   140.470833333   145.179166667  
43.070833333   140.462500000   145.179166667  
43.075000000   140.458333333   145.175000000  
43.079166667   140.458333333   145.170833334  
43.083333333   140.445833333   145.170833334  
43.087500000   140.441666667   145.166666667  
43.091666667   140.441666667   145.166666667  
43.095833333   140.437500000   145.179166667  
43.100000000   140.437500000   145.183333334  
43.104166667   140.437500000   145.183333334  
43.108333333   140.433333333   145.179166667  
43.112500000   140.433333333   145.208333334  
43.116666667   140.429166667   145.220833334  
43.120833333   140.420833333   145.233333334  
43.125000000   140.416666667   145.454166667  
43.129166667   140.416666667   145.462500000  
43.133333333   140.412500000   145.466666667  
43.137500000   140.404166667   145.462500000  
43.141666667   140.391666667   145.433333334  
43.145833333   140.391666667   145.433333334  
43.150000000   140.383333333   145.433333334  
43.154166667   140.383333333   145.500000000  
43.158333333   140.383333333   145.516666667  
43.162500000   140.370833333   145.529166667  
43.166666667   140.370833333   145.529166667  
43.170833333   140.366666667   145.533333334  
43.175000000   140.358333333   145.533333334  
43.179166667   140.354166667   145.537500000  
43.183333333   140.350000000   145.537500000  
43.187500000   140.341666667   145.541666667  
43.191666667   140.341666667   145.545833334  
43.195833333   140.337500000   145.545833334  
43.200000000   140.337500000   145.595833334  
43.204166667   140.333333333   145.595833334  
43.208333333   140.333333333   145.604166667  
43.212500000   140.320833333   145.608333334  
43.216666667   140.320833333   145.608333334  
43.220833333   140.320833333   145.612500001  
43.225000000   140.320833333   145.620833334  
43.229166667   140.320833333   145.620833334  
43.233333333   140.320833333   145.620833334  
43.237500000   140.320833333   145.629166667  
43.241666667   140.320833333   145.583333334  
43.245833333   140.333333333   145.579166667  
43.250000000   140.333333333   145.579166667  
43.254166667   140.333333333   145.579166667  
43.258333333   140.333333333   145.579166667  
43.262500000   140.337500000   145.583333334  
43.266666667   140.337500000   145.587500001  
43.270833333   140.337500000   145.587500001  
43.275000000   140.337500000   145.595833334  
43.279166667   140.337500000   145.600000001  
43.283333333   140.341666667   145.608333334  
43.287500000   140.341666667   145.608333334  
43.291666667   140.341666667   145.670833334  
43.295833333   140.341666667   145.679166667  
43.300000000   140.341666667   145.679166667  
43.304166667   140.341666667   145.679166667  
43.308333333   140.345833333   145.683333334  
43.312500000   140.354166667   145.691666667  
43.316666667   140.354166667   145.695833334  
43.320833333   140.345833333   145.754166667  
43.325000000   140.345833333   145.758333334  
43.329166667   140.345833333   145.758333334  
43.333333333   140.370833333   145.783333334  
43.337500000   140.433333333   145.791666667  
43.341666667   140.441666667   145.791666667  
43.345833333   140.445833333   145.804166667  
43.350000000   140.454166667   145.829166667  
43.354166667   140.454166667   145.829166667  
43.358333333   140.458333333   146.012500001  
43.362500000   140.458333333   146.012500001  
43.366666667   140.462500000   146.012500001  
43.370833333   140.479166667   145.995833334  
43.375000000   141.416666667   145.995833334  
43.379166667   141.416666667   145.995833334  
43.383333333   141.416666667   145.820833334  
43.387500000   141.416666667   145.820833334  
43.391666667   141.416666667   145.820833334  
43.395833333   141.416666667   146.041666667  
43.400000000   141.416666667   146.050000001  
43.404166667   141.416666667   146.050000001  
43.408333333   141.416666667   146.087500001  
43.412500000   141.416666667   146.091666667  
43.416666667   141.412500000   146.091666667  
43.420833333   141.412500000   146.100000001  
43.425000000   141.412500000   146.104166667  
43.429166667   141.408333334   146.108333334  
43.433333333   141.408333334   146.108333334  
43.437500000   141.408333334   146.108333334  
